A001n_PN1c_00001-5	reltype=ob	['９', '年', 'し', '留学']	９５―９７年、中国・北京大に留学し、帰国後に双子を出産。	['1', '4', '6', '13']
A050n_PN2b_00004-5	reltype=overlap	['２', '日', '開か', '解け', 'し', 'まま', '達し']	[JSP]イスラエルとパレスチナ自治政府の停戦に向けた最高治安当局者協議が２２日、米国のジニ特使の仲介で開かれたが、停戦条件をめぐる両者の対立は解けず、再び合意に達しないまま閉幕した。	['18', '19', '20', '29', '42', '48', '50']
A050n_PN2b_00004-7	reltype=overlap	['同日', '起き', 'し', '前後']	[JSP]一方、協議開催と前後して同日、ヨルダン川西岸のパレスチナ自治区ジェニン北方のイスラエル軍検問所で起きた自爆テロについて、アラファト・パレスチナ自治政府議長の支持基盤であるパレスチナ解放機構（ＰＬＯ）主流派ファタハの軍事部門「アルアクサ殉教者団」が犯行を認めた。	['7', '8', '10', '27']
A050n_PN2b_00004-7	reltype=overlap	['同日', '起き']	[JSP]一方、協議開催と前後して同日、ヨルダン川西岸のパレスチナ自治区ジェニン北方のイスラエル軍検問所で起きた自爆テロについて、アラファト・パレスチナ自治政府議長の支持基盤であるパレスチナ解放機構（ＰＬＯ）主流派ファタハの軍事部門「アルアクサ殉教者団」が犯行を認めた。	['10', '27']
A050n_PN2b_00004-7	reltype=overlap	['同日', '起き', 'テロ', '認め']	[JSP]一方、協議開催と前後して同日、ヨルダン川西岸のパレスチナ自治区ジェニン北方のイスラエル軍検問所で起きた自爆テロについて、アラファト・パレスチナ自治政府議長の支持基盤であるパレスチナ解放機構（ＰＬＯ）主流派ファタハの軍事部門「アルアクサ殉教者団」が犯行を認めた。	['10', '27', '30', '67']
A050n_PN2b_00004-9	reltype=overlap	['２', '日', 'さ', '指定']	[JSP]アルアクサ殉教者団は２１日のエルサレム繁華街での自爆テロ後、米国務省から「外国テロ組織」に指定され、この事件について２２日に新たな犯行声明文を出した。	['7', '9', '30', '31']
A050n_PN2b_00004-9	reltype=before	['２', '日', 'さ', '出し']	[JSP]アルアクサ殉教者団は２１日のエルサレム繁華街での自爆テロ後、米国務省から「外国テロ組織」に指定され、この事件について２２日に新たな犯行声明文を出した。	['7', '9', '31', '39']
A050n_PN2b_00004-9	reltype=after	['２', '日', '出し', 'さ', '指定']	[JSP]アルアクサ殉教者団は２１日のエルサレム繁華街での自爆テロ後、米国務省から「外国テロ組織」に指定され、この事件について２２日に新たな犯行声明文を出した。	['7', '9', '30', '31', '39']
A050n_PN2b_00004-9	reltype=overlap	['２', '日', '出し']	[JSP]アルアクサ殉教者団は２１日のエルサレム繁華街での自爆テロ後、米国務省から「外国テロ組織」に指定され、この事件について２２日に新たな犯行声明文を出した。	['7', '9', '39']
A050n_PN2b_00004-12	reltype=before	['２', '日', 'し', '示し', '会談', 'さ', '予定']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['5', '6', '7', '15', '16', '26', '38']
A050n_PN2b_00004-12	reltype=overlap	['２', '日', 'し', '示し']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['5', '6', '7', '55']
A050n_PN2b_00004-12	reltype=overlap	['２', '日', 'し', '非難']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['5', '6', '7', '63']
A050n_PN2b_00004-12	reltype=overlap	['来週', '初め', 'さ', '予定']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['9', '10', '15', '16']
A050n_PN2b_00004-12	reltype=after	['来週', '初め', 'さ', '会談', '示し', '満たし']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['9', '10', '16', '26', '38', '42']
A050n_PN2b_00004-12	reltype=after	['来週', '初め', 'さ', '会談', '示し']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['9', '10', '16', '26', '38']
A050n_PN2b_00004-12	reltype=after	['来週', '初め', 'さ', '会談', '示し', 'し', '非難']	[JSP]米政府は２２日、来週初めにもエジプトで予定されるチェイニー副大統領とアラファト議長との会談について「（議長が）テロを停止させるという会談開催の条件を満たしていない」と難色を示し、アラファト議長の対応を改めて非難した。	['9', '10', '16', '26', '38', '42', '55']
A050n_PN2b_00004-13	reltype=overlap	['２', '日', 'し']	２２日、パレスチナ自治区ガザで覆面をし戦闘態勢を整える「アルアクサ殉教者団」のメンバー＝ロイター	['1', '2', '3']
A050n_PN2b_00004-13	reltype=overlap	['２', '日', 'し', '整える']	２２日、パレスチナ自治区ガザで覆面をし戦闘態勢を整える「アルアクサ殉教者団」のメンバー＝ロイター	['1', '2', '3', '12']
A050n_PN2b_00004-18	reltype=overlap	['２', '夜', 'し', '発生']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['7', '10', '12', '13']
A050n_PN2b_00004-18	reltype=before	['２', '夜', 'し', '事件', 'し', '一方', 'する', '者', 'つながる']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['7', '10', '13', '16', '22', '23', '29', '32', '44']
A050n_PN2b_00004-18	reltype=before	['２', '夜', 'し', '事件', 'し', '一方', 'する', '用意']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['7', '10', '13', '16', '22', '23', '43', '44']
A050n_PN2b_00004-18	reltype=before	['２', '夜', 'し', '事件', 'し', '方針', 'する', '提案']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['7', '10', '13', '16', '22', '23', '44', '60']
A050n_PN2b_00004-18	reltype=before	['２', '夜', 'し', '事件', 'し']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['7', '10', '13', '16', '22']
A050n_PN2b_00004-18	reltype=after	['２', '日', 'し', '事件', 'し', '発生']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['7', '9', '12', '13', '16', '22']
A050n_PN2b_00004-18	reltype=before	['２', '日', 'し', '一方', 'する', '者', 'つながる']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['7', '9', '13', '22', '23', '24', '29']
A050n_PN2b_00004-18	reltype=before	['２', '日', 'し', '一方', 'する', '用意']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['7', '9', '13', '22', '23', '24']
A050n_PN2b_00004-18	reltype=before	['２', '日', 'し', '方針', 'する', '提案']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['7', '9', '13', '22', '23', '24']
A050n_PN2b_00004-18	reltype=overlap	['２', '日', 'し']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['7', '9', '13']
A050n_PN2b_00004-18	reltype=after	['数', '中', 'する', '方針', 'し', '事件', 'し', '発生']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['12', '13', '16', '44', '47', '49', '61', '62']
A050n_PN2b_00004-18	reltype=overlap	['数', '中', 'する', '提案']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['44', '47', '49', '60']
A050n_PN2b_00004-18	reltype=after	['数', '中', 'する', '方針', 'し']	[JSP]ペルーの首都リマで２０日夜に発生した爆弾事件で、トレド大統領は２２日、犯人逮捕につながる情報提供者に１００万ドルの懸賞金を用意する一方、数日中に法改正を含むテロ対策を議会に提案する方針を明らかにした。	['13', '44', '47', '49', '61']
A050n_PN2b_00004-19	reltype=overlap	['２', '深夜', 'し', '切り上げ']	[JSP]大統領は２１日深夜、メキシコ・モンテレイで開かれていた国連開発資金会議への参加を切り上げて急きょ帰国した。	['4', '7', '26', '30']
A050n_PN2b_00004-19	reltype=overlap	['２', '深夜', 'し', '帰国']	[JSP]大統領は２１日深夜、メキシコ・モンテレイで開かれていた国連開発資金会議への参加を切り上げて急きょ帰国した。	['4', '7', '29', '30']
A050n_PN2b_00004-20	reltype=overlap	['２', '午後', 'する', '訪問']	[JSP]ブッシュ米大統領は２３日午後、現職の米大統領として初めてペルーを訪問する。	['6', '9', '21', '22']
A050n_PN2b_00004-26	reltype=oa	['２', '日', 'し', '会議', '開か']	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['6', '16', '18', '19', '20']
A050n_PN2b_00004-26	reltype=before	['２', '日', 'し', 'し', 'コンセンサス', '促す', 'よう', 'ＯＤＡ', '出す']	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['18', '19', '20', '29', '34', '51', '52', '58', '62']
A050n_PN2b_00004-26	reltype=before	['２', '日', 'し', 'し', 'コンセンサス', '促す', 'よう', '引き上げる']	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['18', '19', '20', '50', '51', '52', '58', '62']
A050n_PN2b_00004-26	reltype=overlap	['２', '日', 'し', 'し', '採択']	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['18', '19', '20', '61', '62']
A050n_PN2b_00004-26	reltype=overlap	['２', '日', 'し', '閉幕']	[JSP]メキシコのモンテレイで開かれていた国連の開発資金国際会議は２２日、先進国が開発途上国へ出す政府開発援助（ＯＤＡ）を、国民総生産（ＧＮＰ）の０・７％に引き上げるよう促す合意文書（モンテレイ・コンセンサス）を採択し、閉幕した。	['18', '19', '20', '62']
A050n_PN2b_00004-27	reltype=after	['３', '年間', '増やす', 'し', '訴え']	[JSP]アナン事務総長は先進国からの援助額を倍増させる必要があると訴え、ブッシュ米大統領も「３年間で援助額を５０％増やす」と約束した。	['20', '27', '28', '36', '40']
A050n_PN2b_00004-27	reltype=after	['３', '年間', '増やす', 'し', '約束']	[JSP]アナン事務総長は先進国からの援助額を倍増させる必要があると訴え、ブッシュ米大統領も「３年間で援助額を５０％増やす」と約束した。	['27', '28', '36', '39', '40']
A050n_PN2b_00004-35	reltype=before	['昨年', 'テロ', '受け', '次い', '声', '求める', '対策', '形', 'つながる']	昨年の米同時多発テロを受け、各国首脳や国際機関代表からテロ撲滅につながる形の貧困対策を求める声が相次いだ。	['1', '6', '8', '17', '20', '21', '24', '26', '27']
A050n_PN2b_00004-35	reltype=before	['昨年', 'テロ', '受け', '次い', '声', '求める']	昨年の米同時多発テロを受け、各国首脳や国際機関代表からテロ撲滅につながる形の貧困対策を求める声が相次いだ。	['1', '6', '8', '17', '26', '27']
A050n_PN2b_00004-35	reltype=before	['昨年', 'テロ', '受け', '次い', '相']	昨年の米同時多発テロを受け、各国首脳や国際機関代表からテロ撲滅につながる形の貧困対策を求める声が相次いだ。	['1', '6', '8', '17', '29']
A051n_PN2d_00004-20	reltype=overlap	['一', '年', '作り']	[JSP]香川の直島で一九九八年、築二百五十年の民家の中にプールを作りました。	['6', '10', '15']
A051n_PN2d_00004-36	reltype=overlap	['今年', '決まっ', 'かけ']	[JSP]今年は夏から秋にかけて、韓国で巡回展が決まっています。	['2', '8', '16']
A051n_PN2d_00004-36	reltype=ob	['夏', 'かけ']	[JSP]今年は夏から秋にかけて、韓国で巡回展が決まっています。	['4', '8']
A051n_PN2d_00004-36	reltype=after	['夏', 'かけ', '決まっ']	[JSP]今年は夏から秋にかけて、韓国で巡回展が決まっています。	['4', '8', '16']
A051n_PN2d_00004-36	reltype=oa	['秋', 'かけ']	[JSP]今年は夏から秋にかけて、韓国で巡回展が決まっています。	['6', '8']
A051n_PN2d_00004-36	reltype=after	['秋', 'かけ', '決まっ']	[JSP]今年は夏から秋にかけて、韓国で巡回展が決まっています。	['6', '8', '16']
A051n_PN2d_00004-39	reltype=overlap	['８', '年', '発表', '部門', '開か']	８８年、ベネチアで開かれた国際現代美術展アペルト部門に、デジタルカウンターを使った最初の作品を発表。	['1', '2', '3', '7', '15']
A051n_PN2d_00004-39	reltype=overlap	['８', '年', '発表', '作品', '使っ']	８８年、ベネチアで開かれた国際現代美術展アペルト部門に、デジタルカウンターを使った最初の作品を発表。	['1', '2', '3', '21', '25']
A051n_PN2d_00004-54	reltype=overlap	['最近', 'さ', 'ある', '効果', 'やわらげる']	[JSP]そんな宮島作品が、最近、末期がんを宣告された患者の痛みをやわらげる効果がある、と注目されている。	['7', '13', '20', '21', '23']
A052n_PN2e_00004-8	reltype=overlap	['八', '日', 'し', '正式']	[JSP]ヒューズ氏は、先に子供の教育問題を理由に辞意を表明し、八日に正式辞任した。	['18', '20', '21', '23']
A052n_PN2e_00004-12	reltype=overlap	['一', '年', '雇わ']	一九七七年にブッシュ元大統領の選挙参謀に雇われ、ブッシュ家との付き合いが始まった。	['1', '5', '14']
A052n_PN2e_00004-12	reltype=overlap	['一', '年', '雇わ', '始まっ']	一九七七年にブッシュ元大統領の選挙参謀に雇われ、ブッシュ家との付き合いが始まった。	['1', '5', '14', '23']
A052n_PN2e_00004-13	reltype=after	['二', '年', '選', 'し', 'こと', '雇わ', '時', 'し', '出馬']	現大統領が州知事選に出馬した時に再び雇われ、再選、二〇〇〇年の大統領選と三連勝したことで揺るぎない信頼を得た。	['6', '8', '9', '11', '14', '19', '23', '26', '30']
A052n_PN2e_00004-13	reltype=after	['二', '年', '選', 'し', 'こと', '雇わ']	現大統領が州知事選に出馬した時に再び雇われ、再選、二〇〇〇年の大統領選と三連勝したことで揺るぎない信頼を得た。	['6', '9', '14', '19', '23', '26']
A052n_PN2e_00004-13	reltype=overlap	['二', '年', '選', 'し', 'こと', '得']	現大統領が州知事選に出馬した時に再び雇われ、再選、二〇〇〇年の大統領選と三連勝したことで揺るぎない信頼を得た。	['6', '9', '19', '23', '26', '30']
A052n_PN2e_00004-20	reltype=overlap	['三', '月', '発動', '政策', '促し']	三月の鉄鋼セーフガード措置（緊急輸入制限）発動という「自由貿易」の政権看板に反する保護主義政策も、民主党寄りの労組票獲得のために決断を促したとされる。	['1', '2', '12', '26', '41']
A052n_PN2e_00004-21	reltype=overlap	['六', '月', 'し', 'こと', '飛ばし', 'し']	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['4', '5', '27', '46', '49', '52']
A052n_PN2e_00004-21	reltype=before	['六', '月', 'し', 'こと', '飛ばし', '党', 'よう', '掲げ']	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['4', '5', '27', '37', '40', '42', '46', '49']
A052n_PN2e_00004-21	reltype=before	['六', '月', 'し', 'こと', '飛ばし', '党', 'よう', '戦う']	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['4', '5', '27', '39', '40', '42', '46', '49']
A052n_PN2e_00004-21	reltype=after	['秋', '選挙', 'よう', '党', '飛ばし', 'し']	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['27', '30', '33', '40', '42', '46']
A052n_PN2e_00004-21	reltype=overlap	['秋', '選挙', 'よう', '掲げ']	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['30', '33', '37', '40']
A052n_PN2e_00004-21	reltype=overlap	['秋', '選挙', 'よう', '戦う']	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['30', '33', '39', '40']
A052n_PN2e_00004-21	reltype=after	['秋', '選挙', 'よう', '党', '飛ばし']	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['30', '33', '40', '42', '46']
A052n_PN2e_00004-21	reltype=after	['秋', '選挙', 'よう', '党', '飛ばし', 'こと', 'し', '発覚']	[JSP]また、六月には「対テロ戦争」は超党派の支持を集めやすい与党有利の争点だとして、秋の中間選挙で前面に掲げて戦うよう共和党に指示を飛ばしていることが発覚した。	['27', '30', '33', '40', '42', '46', '49', '51']
A052n_PN2e_00004-25	reltype=overlap	['十', '日', 'し', 'こと', 'ない', '考え', '応じる', '退陣', 'し', '要求']	[JSP]パレスチナ自治政府のアラファト議長は十二日、ＡＰ通信などとのインタビューで、米国やイスラエルが要求している退陣に、現時点で応じる考えがないことを明らかにした。	['9', '11', '25', '26', '29', '35', '36', '38', '39', '43']
A052n_PN2e_00004-25	reltype=overlap	['十', '日', 'し']	[JSP]パレスチナ自治政府のアラファト議長は十二日、ＡＰ通信などとのインタビューで、米国やイスラエルが要求している退陣に、現時点で応じる考えがないことを明らかにした。	['9', '11', '26']
A052n_PN2e_00004-26	reltype=overlap	['来年', '月', 'さ', '選', 'する', '出馬']	[JSP]議長は一方で、来年一月に予定される議長選に自らが出馬するかどうかについては、態度をまだ決めていないと述べるにとどまった。	['7', '9', '12', '15', '19', '20']
A052n_PN2e_00004-26	reltype=after	['来年', '月', 'さ', '選', 'する', 'どう', '決め']	[JSP]議長は一方で、来年一月に予定される議長選に自らが出馬するかどうかについては、態度をまだ決めていないと述べるにとどまった。	['7', '9', '12', '15', '20', '22', '32']
A052n_PN2e_00004-26	reltype=after	['来年', '月', 'さ', '選', 'する', 'どう', '決め', '述べる']	[JSP]議長は一方で、来年一月に予定される議長選に自らが出馬するかどうかについては、態度をまだ決めていないと述べるにとどまった。	['7', '9', '12', '15', '20', '22', '32', '37']
A052n_PN2e_00004-26	reltype=after	['来年', '月', 'さ', '選', 'する', 'どう', '決め', '述べる', 'とどまっ']	[JSP]議長は一方で、来年一月に予定される議長選に自らが出馬するかどうかについては、態度をまだ決めていないと述べるにとどまった。	['7', '9', '12', '15', '20', '22', '32', '37', '39']
A052n_PN2e_00004-27	reltype=before	['今年', '月', '調査', 'し', 'さ', 'すれ', '出馬']	[JSP]今年五―六月の自治区での世論調査では４８％がアラファト氏再選を予測しており、議長が出馬すれば再選は確実視されている。	['2', '6', '13', '25', '31', '32', '38']
A052n_PN2e_00004-27	reltype=before	['今年', '月', '調査', 'し', 'さ', '確実']	[JSP]今年五―六月の自治区での世論調査では４８％がアラファト氏再選を予測しており、議長が出馬すれば再選は確実視されている。	['2', '6', '13', '25', '36', '38']
A052n_PN2e_00004-27	reltype=before	['六', '月', '調査', 'し', 'さ', 'すれ', '出馬']	[JSP]今年五―六月の自治区での世論調査では４８％がアラファト氏再選を予測しており、議長が出馬すれば再選は確実視されている。	['5', '6', '13', '25', '31', '32', '38']
A052n_PN2e_00004-27	reltype=before	['六', '月', '調査', 'し', 'さ', '確実']	[JSP]今年五―六月の自治区での世論調査では４８％がアラファト氏再選を予測しており、議長が出馬すれば再選は確実視されている。	['5', '6', '13', '25', '36', '38']
A052n_PN2e_00004-29	reltype=overlap	['十', '日', '行う']	さらに、自治政府とイスラエルが十三日に再び高官レベルの協議を行うことを明らかにした。	['8', '10', '18']
A052n_PN2e_00004-29	reltype=after	['十', '日', '行う', 'こと', 'し']	さらに、自治政府とイスラエルが十三日に再び高官レベルの協議を行うことを明らかにした。	['8', '10', '18', '19', '23']
A052n_PN2e_00004-34	reltype=overlap	['十', '世紀', '架け', '川', '流れる']	[JSP]ボスニア・ヘルツェゴビナ南部を流れるネレトバ川に十六世紀に架けられ、ボスニア内戦時に破壊されたモスタルの石橋の再建工事がこのほど始まった。	['5', '7', '9', '11', '13']
A052n_PN2e_00004-34	reltype=overlap	['十', '世紀', '架け']	[JSP]ボスニア・ヘルツェゴビナ南部を流れるネレトバ川に十六世紀に架けられ、ボスニア内戦時に破壊されたモスタルの石橋の再建工事がこのほど始まった。	['9', '11', '13']
A052n_PN2e_00004-34	reltype=before	['十', '世紀', '架け', 'さ', '破壊']	[JSP]ボスニア・ヘルツェゴビナ南部を流れるネレトバ川に十六世紀に架けられ、ボスニア内戦時に破壊されたモスタルの石橋の再建工事がこのほど始まった。	['9', '11', '13', '20', '21']
A052n_PN2e_00004-34	reltype=before	['十', '世紀', '架け', 'さ', '石橋', '工事', '始まっ']	[JSP]ボスニア・ヘルツェゴビナ南部を流れるネレトバ川に十六世紀に架けられ、ボスニア内戦時に破壊されたモスタルの石橋の再建工事がこのほど始まった。	['9', '11', '13', '21', '26', '29', '33']
A052n_PN2e_00004-35	reltype=overlap	['約', 'カ月', '予定', '現す', '石橋', '知ら']	工事は約十八カ月で終了予定で、二〇〇四年には、世界的に知られた美しいアーチ形の石橋が再び姿を現す。	['3', '6', '9', '23', '30', '35']
A052n_PN2e_00004-35	reltype=overlap	['二', '年', '現す', '石橋', '知ら']	工事は約十八カ月で終了予定で、二〇〇四年には、世界的に知られた美しいアーチ形の石橋が再び姿を現す。	['12', '16', '23', '30', '35']
A052n_PN2e_00004-35	reltype=overlap	['二', '年', '現す']	工事は約十八カ月で終了予定で、二〇〇四年には、世界的に知られた美しいアーチ形の石橋が再び姿を現す。	['12', '16', '35']
A052n_PN2e_00004-37	reltype=overlap	['一', '年', 'さ', '破壊']	[JSP]しかし内戦中の一九九三年にクロアチア人勢力の砲撃で破壊され、モスタルの町は川の東岸にイスラム教徒、西岸にクロアチア人が住む完全な民族分断状態に。	['6', '10', '18', '19']
A052n_PN2e_00004-38	reltype=after	['先月', '日', '行わ', '完了', '含め', '石', '使わ']	[JSP]再建工事は世界銀行などの支援で進められ、もともと使われていた石を含め、既に千八十八個の石材の準備も完了、先月二十七日には起工式が行われた。	['15', '20', '22', '34', '36', '39', '45']
A052n_PN2e_00004-38	reltype=overlap	['先月', '日', '行わ']	[JSP]再建工事は世界銀行などの支援で進められ、もともと使われていた石を含め、既に千八十八個の石材の準備も完了、先月二十七日には起工式が行われた。	['36', '39', '45']
A053n_PN2g_00004-27	reltype=overlap	['十', '周年', 'し', '記念']	[JSP]これは、九州航空宇宙開発推進協議会が創立十周年を記念して募集した「作文・絵画コンテスト」の小学生の部で最優秀賞を受賞した熊本県本渡市立本渡南小学校二年田中みずほさんの作文の一節である。	['14', '15', '17', '18']
A053n_PN2g_00004-27	reltype=overlap	['十', '周年', 'し', 'し', '募集']	[JSP]これは、九州航空宇宙開発推進協議会が創立十周年を記念して募集した「作文・絵画コンテスト」の小学生の部で最優秀賞を受賞した熊本県本渡市立本渡南小学校二年田中みずほさんの作文の一節である。	['14', '15', '18', '20', '21']
A053n_PN2g_00004-27	reltype=overlap	['十', '周年', 'し', 'し', 'コンテスト', '生', '部', 'し', '受賞']	[JSP]これは、九州航空宇宙開発推進協議会が創立十周年を記念して募集した「作文・絵画コンテスト」の小学生の部で最優秀賞を受賞した熊本県本渡市立本渡南小学校二年田中みずほさんの作文の一節である。	['14', '15', '18', '21', '27', '31', '33', '39', '40']
A053n_PN2g_00004-27	reltype=overlap	['二', 'さん', '作文', 'し', '部', '生', 'コンテスト', 'し', 'し', '記念']	[JSP]これは、九州航空宇宙開発推進協議会が創立十周年を記念して募集した「作文・絵画コンテスト」の小学生の部で最優秀賞を受賞した熊本県本渡市立本渡南小学校二年田中みずほさんの作文の一節である。	['17', '18', '21', '24', '27', '31', '33', '40', '51', '55']
A053n_PN2g_00004-27	reltype=overlap	['二', 'さん', '作文', 'し', '部', '生', 'コンテスト', 'し', '募集']	[JSP]これは、九州航空宇宙開発推進協議会が創立十周年を記念して募集した「作文・絵画コンテスト」の小学生の部で最優秀賞を受賞した熊本県本渡市立本渡南小学校二年田中みずほさんの作文の一節である。	['18', '20', '21', '24', '27', '31', '33', '40', '51']
A053n_PN2g_00004-27	reltype=overlap	['二', 'さん', '作文', 'し', '受賞']	[JSP]これは、九州航空宇宙開発推進協議会が創立十周年を記念して募集した「作文・絵画コンテスト」の小学生の部で最優秀賞を受賞した熊本県本渡市立本渡南小学校二年田中みずほさんの作文の一節である。	['18', '21', '24', '39', '40']
A053n_PN2g_00004-28	reltype=after	['二十', '後', '夢', 'し']	[JSP]「二十年後の航空宇宙に対する夢」をテーマにしたこのコンテストには、九州・沖縄各県の小中学生から四百九十九点の作文、四千四百十九点の絵画の応募があった。	['3', '5', '11', '16']
A053n_PN2g_00004-28	reltype=after	['二十', '後', '夢', 'し', 'コンテスト', 'あっ']	[JSP]「二十年後の航空宇宙に対する夢」をテーマにしたこのコンテストには、九州・沖縄各県の小中学生から四百九十九点の作文、四千四百十九点の絵画の応募があった。	['3', '5', '11', '16', '19', '48']
